gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
RGPD5,4,4,-1.7597031222711705,-1.6461702817918396,0.09972870587568682,0.5038900347571024,0.9046666914952683
BSCL2,4,4,-1.7595959470700373,-1.9568880110951694,0.050360636407123245,0.37910312865275564,0.7206670408347701
SNF8,4,4,-1.7588212750172723,-2.6628576521391456,0.0077480182787884825,0.19282275177406805,0.447989496444679
SEC23A,4,4,-1.757962159768309,-1.5864330849238426,0.11264110024690074,0.5318397851889127,0.9465036300483547
VPS45,4,4,-1.7576887393191303,-1.432870750115366,0.1518947776701742,0.5955210021764183,1.0710712774244993
IPO13,4,4,-1.7573461887211133,-2.622170438283462,0.008737172429206767,0.1965987775041618,0.4597607238558122
CEP97,4,4,-1.7545487848946404,-1.5517271582090963,0.12072752154719102,0.5478445407285761,0.9708181696475927
NPAT,4,4,-1.753913138332601,-2.587563042445985,0.009665750667579558,0.20323596535692862,0.469438335890628
PRKRA,4,4,-1.7535996749785774,-1.5626891165247265,0.1181257355427367,0.5425948530229096,0.9619223821341297
ACTB,4,4,-1.7524988665115628,-1.9229572969678548,0.0544854130275841,0.38966475200764406,0.7351721161139786
HTATSF1,4,4,-1.7517552780970025,-1.6082321243769622,0.10778434996822456,0.5215398179601711,0.9272890825074436
HSPA4,4,4,-1.7514866960867475,-1.8010126063729421,0.07170089301362664,0.4357348008105826,0.8020960478466651
C9orf78,4,4,-1.7507239023472274,-1.4247170803119134,0.15423899975831104,0.5988157632298596,1.074111337339764
FAM72A,4,4,-1.7497942983717416,-1.4222533807780628,0.1549527072343138,0.5997577882875195,1.0757560200643304
ZFR,4,4,-1.7485229210582238,-1.8735042912367559,0.060998780728743575,0.40850374774648773,0.7598259408001214
