gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
CTNNA2,3,3,0.05838500608624244,0.14838957828232693,0.8820353243457616,0.9768724163164453,0.36928175420250237
L1CAM,3,3,0.058392112983750806,0.1300508938347411,0.8965261611060297,0.9811772135231658,0.4215549308798215
TAS2R41,3,3,0.05846171246101004,0.22888896108679985,0.8189552206106798,0.9602993477196963,0.23921781524318128
ZNF331,3,3,0.058526565950102305,0.3143330434819877,0.7532681040534841,0.9469822879485758,0.1738249591315591
TMEM120A,3,3,0.05853521903405802,0.2832103463460514,0.7770155976678015,0.9516348072779565,0.19320466502942463
OPRD1,3,3,0.05859952112716155,0.2667502938096474,0.7896614275962313,0.9524019056305867,0.20548079288770274
SPATA31D4,3,3,0.05861864532895022,0.22345946387242444,0.8231779286187103,0.960451715207856,0.24572975248199946
TRIM59,3,3,0.05863301690144191,0.2960555681811321,0.7671876451364966,0.9486884207705404,0.18503519372980307
ASIC2,3,3,0.058634384159575045,0.318460866273286,0.7501353747995073,0.9469755950346953,0.1718567872920241
MMP16,3,3,0.05869661736661539,0.3176988409138424,0.7507133905187473,0.9469755950346953,0.1724576444922279
APOBEC3F,3,3,0.058856592514226126,0.21373011154019966,0.8307575282640343,0.9627556122606071,0.2580346685074151
ARHGAP21,3,3,0.05891034435123144,0.13919736899412855,0.8892941875035019,0.9786784862547286,0.39728290552350753
C21orf58,3,3,0.05898377651049791,0.25447136480705945,0.7991314236817023,0.9541155523685388,0.2169044151546848
MICALCL,3,3,0.059015180589881366,0.27520741965852036,0.7831568869278558,0.9521154935180473,0.2005153691298594
WWP1,3,3,0.05901804853539929,0.22740603888227,0.8201080249423645,0.9603276389166083,0.243080456234326
CYP11B2,3,3,0.059026038214410444,0.22593809038642831,0.8212495718678279,0.9603276389166083,0.2447041819301491
ZDHHC23,3,3,0.0590348569969573,0.2328544018158758,0.8158744672514855,0.9587432820169017,0.2374191863638095
HINT3,3,3,0.05909067564874795,0.3984131815678776,0.6903256429810047,0.9343800295166845,0.1378877732775925
TAPBPL,3,3,0.05913365108492505,0.2245706901770896,0.8223132683433112,0.9603276389166083,0.2466535454103247
MNX1,3,3,0.059133780683052084,0.13647254557224817,0.8914477269287211,0.9792814708771128,0.40677313588253544
HSDL2,3,3,0.05917955103001139,0.1397193866164208,0.8888817083518097,0.9785103119026329,0.3976032862442517
SLC2A14,3,3,0.0591828320494184,0.2259117021634118,0.8212700960832825,0.9603276389166083,0.24538306387900907
CD37,3,3,0.05922271376576959,0.3032022969668579,0.761735698634862,0.9473900946945367,0.18243665713726773
ZNF517,3,3,0.0592502571271677,0.2542182157396313,0.7993269786530424,0.9541155523685388,0.21810327412374797
EEA1,3,3,0.05927564864238465,0.2809130375192023,0.7787771006442135,0.9518091227028338,0.19726631284038065
KCNA3,3,3,0.05937576809979978,0.15034630282087455,0.8804914037509408,0.976211589796731,0.37064559735899855
TMEM87B,3,3,0.05942966962603364,0.18941864725983987,0.8497647106152095,0.9667368596924729,0.2941873234246727
TECR,3,3,0.05958808024291685,0.15925153646986795,0.8734707016751657,0.9735197632212459,0.35110359553000814
KLHDC7A,3,3,0.05962897304096943,0.25073219752358517,0.8020211656309049,0.9550470061810233,0.22257624720063052
ACAT2,3,3,0.05966839982620913,0.23920504349207306,0.8109465920343574,0.9575300653711519,0.23354770685106696
CCDC179,3,3,0.05976546217849851,0.2555729434700906,0.7982806126677178,0.9541155523685388,0.21882313303680126
S100A1,3,3,0.059818927868108655,0.3062968142923048,0.7593786645604178,0.9473257768117479,0.18238772077529272
S1PR1,3,3,0.05988104341812211,0.22741430227918277,0.8201016000061306,0.9603276389166083,0.24662588848062555
PRSS56,3,3,0.05988549267745034,0.09169027946379772,0.9269441207216711,0.9872845625541419,0.6135742500509539
PPP2R1B,3,3,0.05994768693658231,0.287816258163237,0.7734873915191122,0.9505439219427734,0.19466477116678138
VAX2,3,3,0.06006065721323863,0.27310412861032757,0.784773173157065,0.9521154935180473,0.2056556314504064
DCAF4L2,3,3,0.06007946805446471,0.2717279551636707,0.7858312046582595,0.9521154935180473,0.20677266577809028
MSH4,3,3,0.06011193054981076,0.2307866452109979,0.8174805567716364,0.9597190945248428,0.24393302059133198
SPOCD1,3,3,0.060114377120590784,0.20215672465793136,0.8397942033198929,0.9635377848545527,0.27872990134161624
GOLPH3,3,3,0.06015175737969149,0.2559348676770831,0.7980011305169942,0.9541155523685388,0.21992323506860856
NRROS,3,3,0.06017843790020716,0.16085545754578284,0.8722072450910537,0.9730443842949138,0.3510340102500552
IER5L,3,3,0.06018000817438692,0.05499579228611676,0.9561418159906521,0.992443657557597,1.0283789672053485
MFHAS1,3,3,0.06019048508177313,0.24824058210726374,0.8039482688200777,0.9550623411261211,0.22694680467836972
ZG16B,3,3,0.06022440872060143,0.22285143878204597,0.8236511321540337,0.9604974403548542,0.2531546933264165
HELB,3,3,0.06026633805464987,0.16121378689539595,0.8719250227787563,0.9730443842949138,0.35076256830284164
GUF1,3,3,0.06028138935855699,0.2096454033661566,0.8339444402463054,0.9635106383336363,0.2694626493352574
SPIN1,3,3,0.0603359134723116,0.1963183907994465,0.8443609676916088,0.9649693739378341,0.28812321994037066
NETO2,3,3,0.06034563555802069,0.23506853554732834,0.8141555394848208,0.9585272524009143,0.24038753356591153
CAMK4,3,3,0.0603920286845918,0.21699130506118897,0.8282151210697021,0.9619426084018884,0.26076163587979717
STK35,3,3,0.0603955719758303,0.24931511951373647,0.8031170368338069,0.9550623411261211,0.2267302158004711
DUSP2,3,3,0.06040432401073977,0.22475387539183056,0.8221707501279272,0.9603276389166083,0.2517468848467924
ALK,3,3,0.060415298717669486,0.12096799180544388,0.9037163878138641,0.982975537925455,0.4689842581311556
PNKD,3,3,0.06044222966321528,0.2390636319725188,0.8110562416806228,0.9575387850676487,0.23671759891545704
AGXT2,3,3,0.06044409024736176,0.22307389219499238,0.8234779974080304,0.960451715207856,0.253823014335906
ACTL6B,3,3,0.06045593260459334,0.21970925062373683,0.826097599742557,0.9609499224384367,0.25778716594771905
DHRS7,3,3,0.06052240600712433,0.18762042969012324,0.851174210069579,0.9671992196437319,0.30248219127194426
TALDO1,3,3,0.06053130695834034,0.19326449148952185,0.8467518337243065,0.9654884851859471,0.2936480397827762
KIR2DL2,2,2,0.06053292027035086,0.16519572465385765,0.8687899302671418,0.9721053615974264,0.32339885825983067
CHRNB4,3,3,0.06057702427541953,0.19323444475010837,0.8467753640517484,0.9654884851859471,0.2939157537424577
HAS1,3,3,0.06062560499607354,0.23377619463490623,0.815158731461986,0.9586421814665765,0.24284804306707486
NTM,3,3,0.0606325410324893,0.3459902556128337,0.7293500379110287,0.9408060962871067,0.16336561834996746
FAM229A,3,3,0.06067290426416094,0.23279067258863656,0.8159239561693997,0.9587432820169017,0.24407418660299737
SNX24,3,3,0.06071187042637424,0.17170758939653413,0.8636674189610236,0.9701947859195996,0.3316803527833016
SLC38A1,3,3,0.06073170268998025,0.167064941370142,0.8673189510151299,0.9711793290444939,0.3410460536582895
S100B,3,3,0.06073584606917801,0.2266089926015012,0.8207277991075422,0.9603276389166083,0.2510417898761935
SNX7,3,3,0.06073924385796801,0.14411365398926124,0.8854107229494549,0.9775957740537249,0.39560497986554843
SETD7,3,3,0.0607725596468012,0.24285253509807747,0.8081196363953402,0.9565623111793666,0.23426830025116877
MAP2K6,3,3,0.06079540717867143,0.26311721648365627,0.7924602345152635,0.953164670566831,0.216153132574248
CTSF,3,3,0.060884597655414846,0.27194102956063515,0.7856673625783991,0.9521154935180473,0.209377776541326
PLTP,3,3,0.060906017708422196,0.24926574124501968,0.803155229603048,0.9550623411261211,0.22869215721881644
APOPT1,3,3,0.060962412264584355,0.21428172603221282,0.8303273675954027,0.9625627342885147,0.2665744759377684
MAP4K1,3,3,0.06099985900742397,0.24891111534915336,0.8034295370480083,0.9550623411261211,0.22937364590394987
CCNDBP1,3,3,0.06113523376284592,0.21614042766743996,0.8288782876934029,0.9622574428254046,0.2650165923511488
CRISP2,3,3,0.06114193033717456,0.18097504455671784,0.8563871641168119,0.9679395129292452,0.3168530107092889
HRH1,3,3,0.06118981762313422,0.34128401713225665,0.7328897789003167,0.9417823610136522,0.16717816015319917
C1GALT1C1L,3,3,0.061190508416587484,0.2547881497526316,0.7988867284154093,0.9541155523685388,0.22473707121608685
ABHD5,3,3,0.061228551623456036,0.2950993430269166,0.7679179915778318,0.9489383511958325,0.19385995433735498
SETX,3,3,0.061245758086435856,0.27162457293509973,0.7859107031243754,0.9521154935180473,0.21086767919049126
CMTM2,3,3,0.061283577158937716,0.21921486383685052,0.8264826773996229,0.96116120846142,0.26190955703166474
COLCA1,3,3,0.061290649474041455,0.2538608488564699,0.7996030622033441,0.9541155523685388,0.2259345105705914
FAM120AOS,3,3,0.0613094302948739,0.15431054035014077,0.8773648868615509,0.9747467155737559,0.37285309935088196
OR5L1,3,3,0.06136271827450556,0.20882590506825738,0.8345841478241256,0.9635106383336363,0.2753792402586449
C9orf43,3,3,0.061369113492886186,0.3475633016375097,0.728168170933637,0.9405961786947281,0.16458936899570184
AFP,3,3,0.061431886029609216,0.22873692044685512,0.8190733970573869,0.9602993477196963,0.25153968185728814
TTC16,3,3,0.06143405065492414,0.22515991336777508,0.8218548732437282,0.9603276389166083,0.2555735167016005
PRAME,3,3,0.06144040648756119,0.2408903349788032,0.8096401131716566,0.9568901229032036,0.2387876750224209
SLC30A7,3,3,0.06147717660388734,0.2252509467688094,0.8217840578510577,0.9603276389166083,0.2556488395739663
TRPC6,3,3,0.061498465312475735,0.2723003541382466,0.7853910839436008,0.9521154935180473,0.21120688142589347
GRM3,3,3,0.06154122340655139,0.20974621745081728,0.8338657514681467,0.9635106383336363,0.27496118017361815
KIF21A,3,3,0.06155911360895321,0.20705630309151576,0.8359658876113796,0.9635106383336363,0.27863586316198313
ELFN2,3,3,0.06159072274613335,0.2660343434144123,0.7902127595463,0.9525600441945324,0.21655646426361144
ANKRD26,3,3,0.06172166828474922,0.12966013598338405,0.8968353231259731,0.9812737690051656,0.4469382826904147
OXTR,3,3,0.06178603775383477,0.28056175396602495,0.7790465540923066,0.9518546875102823,0.2058810268229651
PLA2G2F,3,3,0.06195057783803423,0.14729609011028616,0.8828983184594135,0.9769590347043546,0.3947514901822732
SCLT1,3,3,0.062026841476134936,0.2759138952389192,0.782614201175477,0.9519310941688651,0.21020276936399254
ZNF423,3,3,0.06205672972453704,0.27818636985511286,0.7808692973535836,0.9518546875102823,0.2085678948284132
TSSC4,3,3,0.062108491116130225,0.18580518164907378,0.852597540927007,0.9672901839921153,0.31345650507581946
C17orf98,3,3,0.06211407769309019,0.2594893130681492,0.7952577266460014,0.9536487573167424,0.22395856135011125
NFAM1,3,3,0.062136513899490785,0.25746003730954037,0.7968236612998283,0.9541155523685388,0.22582173440212913
CHIA,3,3,0.062199128808725884,0.2838010876340042,0.7765628209728925,0.9515354674292953,0.20486587996003391
COL6A5,3,3,0.062224668713439076,0.2235915344125854,0.8230751514743384,0.960451715207856,0.26069108442846506
IQSEC3,3,3,0.06223124646809939,0.2009450793774512,0.8407415183097622,0.9638413074619651,0.2902947704315584
STK4,3,3,0.062273753844874755,0.24188361041764794,0.8088703500914654,0.9566924443627809,0.24102460286394245
IRX3,3,3,0.062307366772262736,0.27264214111052787,0.7851283147627754,0.9521154935180473,0.2137139136885824
YIPF6,3,3,0.062317970776101156,0.2538061951985557,0.7996452870598616,0.9541155523685388,0.22977141398494955
DNMT3B,3,3,0.062351803836642065,0.24414219707030568,0.8071206925916503,0.9562988619810037,0.23907596257484645
KRTAP20-3,3,3,0.06243973872848261,0.22800495914158508,0.8196423852222586,0.9603276389166083,0.2564931491482921
PIDD1,3,3,0.06261053237799695,0.1233226576622482,0.9018515995591565,0.982975537925455,0.4767262352960284
ZNF771,3,3,0.0626199625278815,0.20573480711928965,0.8369980679745306,0.9635106383336363,0.285268977284524
GCK,3,3,0.06266565879511907,0.34335812957696116,0.7313290546833712,0.9408847760505377,0.1701593320233759
ZNF71,3,3,0.06277759970746417,0.14523935439167637,0.8845218950293701,0.9774758442422966,0.4057028972882802
CPO,3,3,0.06280512060288677,0.28093913299661943,0.7787570850649215,0.9518091227028338,0.20899258723805636
TAF5L,3,3,0.06285143054739369,0.19253496604452228,0.8473231812898705,0.9658431437370152,0.30606462696175574
PRICKLE2,3,3,0.06285384477881285,0.3513892228700236,0.725296366466531,0.93999777570974,0.16670497942386867
