gene,sgRNA,B1,B2,B3,A1,A2,A3
NUP93,NUP93-11,1720,1616,1573,330,323,302
PSMD7,PSMD7-10,2564,2405,2313,833,882,550
PSMA3,PSMA3-2,1990,1963,1801,494,493,416
RPS3A,RPS3A-2,3206,3235,3046,1302,1102,1104
RPL18A,RPL18A-3,5213,4773,4235,2475,2136,1865
PSMA3,PSMA3-10,3485,3562,3082,1487,1300,1142
RPS3A,RPS3A-5,3170,3263,2944,1294,1174,1057
RPS27,RPS27-3,5951,5927,5855,3229,3115,2620
COPS2,COPS2-3,6484,6963,5975,3497,3073,3552
COPB1,COPB1-10,1989,1911,1830,475,600,478
RPL5,RPL5-8,4341,4014,3997,1739,2084,1680
PSMC2,PSMC2-12,4720,4811,4809,2510,2314,2019
COPS4,COPS4-3,3073,2881,2796,1172,1070,1087
PSMD11,PSMD11-1,2211,2330,2286,865,843,614
NUP93,NUP93-9,2520,2559,2588,1076,924,809
COPS4,COPS4-10,2742,2984,2638,1179,1099,950
PSMD1,PSMD1-7,3944,3866,3713,1864,1820,1561
PSMD11,PSMD11-4,1736,1855,1693,541,498,476
PSMD6,PSMD6-16,2386,2799,2344,1105,937,802
NUP133,NUP133-5,2558,2426,2378,984,910,851
RPL3,RPL3-10,1346,1464,1215,291,386,229
COPS8,COPS8-2,2363,2413,2455,1059,909,771
RPS27,RPS27-5,4058,3862,3604,1883,1861,1687
RPS13,RPS13-1,1658,1856,1690,501,602,514
RPL30,RPL30-5,2048,2383,2440,975,815,794
NUP93,NUP93-6,1233,1385,1416,297,374,317
COPS6,COPS6-1,4118,4293,4021,2040,1816,2285
COPZ1,COPZ1-3,1142,1128,1052,198,238,204
COPS2,COPS2-10,4152,3757,3663,2092,1830,1681
RPL11,RPL11-4,6204,5905,5831,3172,3448,3354
RPL3,RPL3-2,5107,5358,4954,2800,2895,2548
PSMD11,PSMD11-10,2847,2834,2587,1205,1230,1092
PSMC4,PSMC4-9,3204,3309,3157,1459,1593,1412
NUP98,NUP98-8,5106,5163,4950,2702,2865,2624
NUP205,NUP205-10,2992,2855,2951,1316,1273,1325
RPL36,RPL36-9,5178,4877,4606,2856,2589,2372
RPS19,RPS19-4,1388,1436,1519,393,360,553
POLA1,POLA1-2,3840,4038,3614,2101,1987,1666
POLA1,POLA1-8,3296,3566,3335,1884,1661,1396
COPS6,COPS6-10,2821,2723,2491,1402,1109,1053
NUP54,NUP54-4,2653,2776,2728,1272,1180,1194
POLR2A,POLR2A-8,1867,1825,1586,544,690,671
RPL6,RPL6-1,1125,1053,982,387,228,164
NUP54,NUP54-20,3365,3433,2973,1708,1644,1432
NUP205,NUP205-9,5331,5361,4742,3422,3094,2405
PSMB2,PSMB2-19,3640,3608,3299,2006,1756,1712
RPS13,RPS13-3,3002,2909,3019,1604,1340,1469
PSMC1,PSMC1-7,4154,4046,4131,2334,2483,1982
COPS8,COPS8-9,5151,5080,4777,2969,2887,2803
NUP205,NUP205-4,8422,8333,7488,5279,5256,4874
POLR2F,POLR2F-10,5855,6094,5842,3812,3855,3107
NUP133,NUP133-8,2350,2432,2107,1103,1215,927
NUP98,NUP98-3,3786,3833,3545,2187,2247,1778
PSMB3,PSMB3-7,2773,2768,2548,1336,1504,1250
RPL27,RPL27-8,5036,4835,4539,2660,3027,2806
RPL5,RPL5-4,4659,4666,4546,2723,2851,2555
RPL18A,RPL18A-5,4191,4356,4008,2563,2520,2123
NUP98,NUP98-13,2857,3039,3175,1631,1685,1462
PSMB3,PSMB3-5,4759,4870,4290,3174,2558,2510
NUP98,NUP98-16,4669,4730,4407,3067,2831,2306
COPS6,COPS6-4,4639,4399,4187,2985,2548,2279
PSMD6,PSMD6-11,2302,2441,2234,1187,1105,1145
NUP98,NUP98-4,8615,8482,8043,5935,5785,4998
PSMC4,PSMC4-1,4311,3980,3678,2506,2289,2154
RPS7,RPS7-6,2859,2537,2674,1469,1444,1317
PSMB2,PSMB2-17,772,800,689,227,174,193
POLR2A,POLR2A-9,1094,1107,1140,446,398,363
PSMC4,PSMC4-8,1848,1992,2048,1033,1036,758
COPS2,COPS2-5,637,568,634,167,133,96
PSMC1,PSMC1-5,4898,5037,4248,2782,2997,2852
RPL3,RPL3-8,3133,2955,2735,1683,1733,1541
RPS11,RPS11-9,3930,3981,3655,2355,2342,2219
PSMB2,PSMB2-22,7041,6785,6616,4806,4415,4362
RPS24,RPS24-10,9756,9846,9177,6957,6896,6198
PSMD11,PSMD11-7,2425,2259,2114,1377,1133,1115
COPZ1,COPZ1-5,2473,2461,2325,1442,1395,1130
PSMC4,PSMC4-10,3442,3531,3183,2190,2044,1782
PSMD6,PSMD6-15,2135,2152,2018,1153,1130,1062
PSMD1,PSMD1-13,3016,3294,2746,1719,1894,1655
COPA,COPA-3,4834,4706,4304,2735,3062,2985
RPL3,RPL3-6,4591,4787,4043,3133,2903,2467
RPS24,RPS24-6,5667,5635,5485,3800,3697,3549
COPS8,COPS8-6,2304,2390,2304,1436,1434,1044
RPS24,RPS24-4,8160,7636,7458,5631,5341,5063
LYZL6,LYZL6-6,6464,6379,6287,4592,4201,4122
PSMD1,PSMD1-21,2287,2390,2410,1360,1343,1283
COPS8,COPS8-15,7712,7810,7493,5520,5794,4693
RPL3,RPL3-7,3972,4185,3740,2746,2525,2259
NUP98,NUP98-10,7273,6997,6648,5393,4925,4141
COPZ1,COPZ1-14,3644,3559,3417,2229,2370,2003
RPS24,RPS24-8,5570,5463,5419,3451,4157,3418
RPL9,RPL9-10,1415,1332,1342,716,632,673
RPL3,RPL3-1,2589,2512,2663,1774,1489,1346
RPL27,RPL27-7,1982,1955,1989,1232,1185,905
RPL3,RPL3-3,7981,7780,7785,5673,5817,5179
RPL34,RPL34-6,3430,3473,3091,2362,2045,1932
NUP98,NUP98-9,2254,2290,2261,1381,1186,1451
COPS8,COPS8-14,4688,4848,4460,3464,3129,2813
RPS3A,RPS3A-6,1620,1689,1628,965,821,944
