gene,fdr
SAMM50,0.03699728971962617
RPS25,0.03699728971962617
WDR18,0.03699728971962617
COPA,0.03699728971962617
MRPS26,0.03699728971962617
RRP15,0.03699728971962617
COPS8,0.03699728971962617
NEFL,0.03699728971962617
RABL3,0.03699728971962617
GPN2,0.037273568181818185
EXOSC7,0.037273568181818185
BUB1B,0.037273568181818185
CAPZB,0.037273568181818185
CCT6A,0.037273568181818185
HMGCR,0.037273568181818185
TEAD1,0.037273568181818185
BOP1,0.037273568181818185
CASP8AP2,0.037273568181818185
KAT5,0.037273568181818185
EPHB4,0.037273568181818185
RAD9A,0.037273568181818185
RBM8A,0.03753140271493213
MRPS34,0.03753140271493213
ACO2,0.037702
XRCC2,0.037702
EIF5A,0.037702
RPL30,0.037702
NOP56,0.037702
RFC5,0.037702
GTF2E1,0.037702
MAK16,0.037702
POLR1D,0.03786845474613686
TUBGCP5,0.03786845474613686
VAC14,0.03786845474613686
RCL1,0.03827200863930886
RPS27A,0.03827200863930886
PRPF38A,0.03827200863930886
RAD51,0.03827200863930886
SMG6,0.03827200863930886
TELO2,0.03827200863930886
ANAPC15,0.03827200863930886
LAMTOR5,0.03827200863930886
DDX24,0.03827200863930886
OSBP,0.03827200863930886
YEATS4,0.03858626865671642
NPC1,0.03858626865671642
ATRIP,0.03858626865671642
RPL37,0.03858626865671642
RAN,0.03858626865671642
TWNK,0.03858626865671642
MAD1L1,0.03930634042553191
GTF3C6,0.03962312101910828
POLR3A,0.040337944915254234
SRSF1,0.041273768421052626
ELP2,0.041273768421052626
HGS,0.041273768421052626
HNRNPL,0.041322651356993735
VPS16,0.041322651356993735
POLR2C,0.041322651356993735
SSRP1,0.041322651356993735
BRAF,0.041629291666666665
PSMD7,0.041847655601659754
SNRPD1,0.041847655601659754
RPL36A-HNRNPH2,0.04332217391304348
CKAP5,0.04344263374485596
COG5,0.04344263374485596
CTU2,0.04344263374485596
EXOSC3,0.0435905476673428
TMEM242,0.0435905476673428
ROMO1,0.0435905476673428
CCT2,0.0435905476673428
EIF2S2,0.0435905476673428
DHRS1,0.0435905476673428
CCNA2,0.0435905476673428
CTC1,0.043998309859154934
ZCCHC7,0.043998309859154934
NEPRO,0.043998309859154934
CLNS1A,0.043998309859154934
MRPS22,0.04411134
CINP,0.04411134
NOP2,0.04411134
SUPT5H,0.04415883858267716
ADAR,0.04415883858267716
ISG20L2,0.04415883858267716
MRPL11,0.04415883858267716
NUP188,0.04415883858267716
ACD,0.04415883858267716
RACGAP1,0.04415883858267716
WDR43,0.04415883858267716
EIF4G2,0.044182031249999996
RPAP2,0.044182031249999996
PRMT1,0.044182031249999996
MCM10,0.044182031249999996
MOB4,0.044376867704280155
USP36,0.044376867704280155
COPG1,0.04448398452611218
WDR36,0.04448398452611218
CDC16,0.04448398452611218
TOMM20,0.04458986538461539
FUBP1,0.04458986538461539
CBLL1,0.04458986538461539
POLR3H,0.04478015325670498
HMGCS1,0.04478015325670498
U2AF1,0.04490030245746692
C22orf29,0.04490030245746692
NUP214,0.04490030245746692
GPN1,0.04490030245746692
PGK1,0.04490030245746692
EXOC7,0.04490030245746692
RNF20,0.04490030245746692
COG8,0.0451712641509434
RAP1B,0.04544120527306968
SMC5,0.045891947565543066
CCDC84,0.045891947565543066
EXOC3,0.045891947565543066
POLR1B,0.04615852336448598
POLG,0.04625152416356877
MRPS2,0.04625152416356877
NDC80,0.04625152416356877
ASNA1,0.046343493530499075
NUP160,0.046343493530499075
AREL1,0.046343493530499075
INTS6,0.04643444852941177
ACTR10,0.04643444852941177
ATP5J2,0.04643444852941177
ATP5O,0.047127499999999996
