gene,fdr,stat
GGPS1,2.339178810966248e-5,-4.193716833963639
DLST,2.339178810966248e-5,-4.190117400179321
HAUS1,2.339178810966248e-5,-4.189962917630585
TKFC,2.339178810966248e-5,-4.187396880481114
DDX1,2.339178810966248e-5,-4.182758714035709
SRPRB,2.339178810966248e-5,-4.182114982581841
NXT1,2.339178810966248e-5,-4.179759223622394
WDR5,2.339178810966248e-5,-4.176005136547536
PRPF8,2.339178810966248e-5,-4.173760665684505
RPL32,2.339178810966248e-5,-4.1699317501279936
WARS2,2.339178810966248e-5,-4.16528173628171
RHOA,2.339178810966248e-5,-4.16497447968646
IARS2,2.339178810966248e-5,-4.16357903001307
METTL25,2.339178810966248e-5,-4.162913392956413
MED4,2.339178810966248e-5,-4.159453953171944
CCDC121,2.339178810966248e-5,-4.158574099994193
SRRT,2.339178810966248e-5,-4.155308229354672
PSMA6,2.339178810966248e-5,-4.151081973284157
EBNA1BP2,2.339178810966248e-5,-4.1485129512693755
ELOF1,2.339178810966248e-5,-4.147082859682913
SEC61B,2.339178810966248e-5,-4.142673108429843
NAA15,2.339178810966248e-5,-4.142463808453861
NOP16,2.339178810966248e-5,-4.140105597699958
LCMT1,2.339178810966248e-5,-4.138281386560494
ATP6V1B2,2.339178810966248e-5,-4.135893340744617
CWC22,2.339178810966248e-5,-4.131792634497842
RAB18,2.339178810966248e-5,-4.131061101340905
TAF1D,2.339178810966248e-5,-4.128656836068182
ORC3,2.339178810966248e-5,-4.127733770244312
FARSA,2.339178810966248e-5,-4.126764027562891
CASP8AP2,2.339178810966248e-5,-4.1265558353447815
ANAPC1,2.339178810966248e-5,-4.124892098613107
GTF3C3,2.339178810966248e-5,-4.123158393658927
BARD1,2.339178810966248e-5,-4.122966770666516
SURF6,2.339178810966248e-5,-4.122248642338534
WDR36,2.339178810966248e-5,-4.119708480631208
MTOR,2.339178810966248e-5,-4.119701086688355
AARS2,2.339178810966248e-5,-4.118343354670883
TUBGCP6,2.339178810966248e-5,-4.115931969015687
WWTR1,2.339178810966248e-5,-4.114836235668478
SF3B6,2.339178810966248e-5,-4.114727074785994
VPS41,2.339178810966248e-5,-4.114634430702817
CDAN1,2.339178810966248e-5,-4.114104586308439
COPS6,2.339178810966248e-5,-4.11182240830308
RNF113A,2.339178810966248e-5,-4.110702132087869
RPS17,2.339178810966248e-5,-4.109505474759005
WDR33,2.339178810966248e-5,-4.109445345874946
RTF1,2.339178810966248e-5,-4.106461923882622
UTP14A,2.339178810966248e-5,-4.10112353522576
TRAPPC5,2.339178810966248e-5,-4.094847988444674
DNAJC2,2.339178810966248e-5,-4.094630654901821
TUBG1,2.339178810966248e-5,-4.094626171896969
TFE3,2.339178810966248e-5,-4.094315762298782
RFC1,2.339178810966248e-5,-4.093666079466367
TP53RK,2.339178810966248e-5,-4.09365420625567
MEMO1,2.339178810966248e-5,-4.092577524217698
PSMD1,2.339178810966248e-5,-4.090015726069171
NOP2,2.339178810966248e-5,-4.088915958531136
SMC2,2.339178810966248e-5,-4.085769862081246
UBE3D,2.339178810966248e-5,-4.083267824871133
MAPK1,2.339178810966248e-5,-4.078330076396861
BUD13,2.339178810966248e-5,-4.077810586873687
PFDN2,2.339178810966248e-5,-4.074836649324701
TAF1A,2.339178810966248e-5,-4.074781053754023
FAM96B,2.339178810966248e-5,-4.071474714745231
SLC7A6OS,2.339178810966248e-5,-4.070891786220447
MRPS15,2.339178810966248e-5,-4.07055391150485
DICER1,2.339178810966248e-5,-4.0680494461595424
POLE,2.339178810966248e-5,-4.067186519137998
CFAP20,2.339178810966248e-5,-4.06640404094676
PSMB2,2.339178810966248e-5,-4.0622809132884985
RPS19BP1,2.339178810966248e-5,-4.060991301075729
TRAPPC11,2.339178810966248e-5,-4.059828193141952
DCTN6,2.339178810966248e-5,-4.058491050073835
POLR2A,2.339178810966248e-5,-4.057967977992071
COX6B1,2.339178810966248e-5,-4.057833269622488
SNRPD3,2.339178810966248e-5,-4.056945002637034
CHEK1,2.339178810966248e-5,-4.05683094277672
FPGS,2.339178810966248e-5,-4.056370367563884
RPLP1,2.339178810966248e-5,-4.056138295338604
CAMLG,2.339178810966248e-5,-4.05329647586331
MVD,2.339178810966248e-5,-4.05243305797301
GLMN,2.339178810966248e-5,-4.052179467329946
CTC1,2.339178810966248e-5,-4.044216748233295
VPS72,2.339178810966248e-5,-4.043692674627829
ATAD5,2.339178810966248e-5,-4.0436814739786575
MRPL41,2.339178810966248e-5,-4.043644460075389
FAM98B,2.339178810966248e-5,-4.039714674866869
SNRNP25,2.339178810966248e-5,-4.039578815502357
CIT,2.339178810966248e-5,-4.034608900957582
CDC73,2.339178810966248e-5,-4.033758273118668
DCTN2,2.339178810966248e-5,-4.032883971895996
SARS,2.339178810966248e-5,-4.032038443864019
YAE1D1,2.339178810966248e-5,-4.0317367674228395
ZCCHC9,2.339178810966248e-5,-4.031371292264753
GFM1,2.339178810966248e-5,-4.030586939982147
EPHB4,2.339178810966248e-5,-4.028296131950279
NDUFB1,2.339178810966248e-5,-4.028050626291856
DDX47,2.339178810966248e-5,-4.027120299339692
NUTF2,2.339178810966248e-5,-4.023088785194536
LAMTOR5,2.339178810966248e-5,-4.0207070014002975
IMP3,2.339178810966248e-5,-4.020576569909869
CDSN,2.339178810966248e-5,-4.019895101419407
SRRM2,2.339178810966248e-5,-4.018430312586846
OXA1L,2.339178810966248e-5,-4.016848343904043
PRELID1,2.339178810966248e-5,-4.014625139736845
KAT5,2.339178810966248e-5,-4.010948525218089
CCT2,2.339178810966248e-5,-4.010562176672036
ACTR1A,2.339178810966248e-5,-4.010315138787644
UTP3,2.339178810966248e-5,-4.008987912666379
RRAGA,2.339178810966248e-5,-4.008097489320226
ITGAV,2.339178810966248e-5,-4.005725130869507
C16orf59,2.339178810966248e-5,-4.003406641401428
INTS8,2.339178810966248e-5,-4.003288848370531
PFDN6,2.339178810966248e-5,-4.00323877328797
ZCRB1,2.339178810966248e-5,-4.002232009129799
PRMT1,2.339178810966248e-5,-4.00199472267134
MRPL37,2.339178810966248e-5,-4.001075534827878
ABT1,2.339178810966248e-5,-3.999224760956613
TLN1,2.339178810966248e-5,-3.9991718165843984
NOL8,2.339178810966248e-5,-3.9976914923899654
PPP1R2,2.339178810966248e-5,-3.9956349951900245
RPL39,2.339178810966248e-5,-3.99319002931843
