sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
LUZP4-2,LUZP4,6094.5/5940.3/5474.7,7867.2/7751/8059.3,5830.4,7891.5,0.43662,104180,42452,10.003,1,7.3887e-24,1.4777e-23,3.9014e-23,True
TAAR1-8,TAAR1,9640.5/9221.2/9906.1,13326/12261/11381,9585.1,12297,0.35943,119250,73999,9.9698,1,1.0335e-23,2.0669e-23,5.4419e-23,True
NUP133-5,NUP133,2488.1/2220.8/2282.8,1110.5/1037.3/1147.2,2327.8,1097.4,-1.0842,19591,15234,9.9693,1.0384e-23,1,2.0767e-23,5.4529e-23,False
TAS2R9-9,TAS2R9,5512.4/5815.7/5668,7764.5/7701.1/7570,5664,7678.1,0.43886,23e3,41101,9.9346,1,1.4717e-23,2.9434e-23,7.7074e-23,True
COPS8-2,COPS8,2539.8/2267/2395.3,1254.6/1014.2/1200.2,2398.1,1151.6,-1.0577,18645,15748,9.9336,1.4859e-23,1,2.9717e-23,7.7604e-23,False
RPS7-5,RPS7,9899/10021/10708,12586/13650/12755,10203,12989,0.34819,190480,79357,9.8878,1,2.352e-23,4.7039e-23,1.2251e-22,True
RPS3A-4,RPS3A,5913.5/5372.4/6320.3,4485.2/3449.3/3591.9,5855.8,3816,-0.61765,226350,42658,9.8758,2.6503e-23,1,5.3005e-23,1.3767e-22,False
IL1F10-6,IL1F10,2622.2/2870/2756.1,4270.9/4110.3/3875.1,2747.5,4082.2,0.57102,15390,18328,9.8583,1,3.154e-23,6.3079e-23,1.6339e-22,True
POU4F2-8,POU4F2,4099.4/4491.5/4535.3,5648/6795/5914.2,4370.9,6100,0.48078,57649,30771,9.857,1,3.1978e-23,6.3956e-23,1.6522e-22,True
LUZP4-6,LUZP4,5496.1/5595/5126.9,7412.4/7334/7289.7,5402.2,7345.2,0.44318,60885,38984,9.8407,1,3.7594e-23,7.5187e-23,1.9371e-22,True
VN1R2-10,VN1R2,3823.7/3823.9/3505,5690.3/5457.3/4768,3714.4,5290.3,0.51011,33883,25658,9.8383,1,3.8496e-23,7.6993e-23,1.9783e-22,True
NUP98-14,NUP98,4397.1/4505.3/4927.8,5860.5/6828.3/6480.6,4604.5,6377.1,0.46977,78678,32613,9.8155,1,4.826e-23,9.6521e-23,2.4735e-22,True
RPS13-3,RPS13,3091.3/3574.5/3805.1,2047.2/1919.3/1929.3,3477.3,1964.4,-0.82355,132970,23837,9.799,5.6841e-23,1,1.1368e-22,2.9056e-22,False
HTR3D-4,HTR3D,6839.3/6849.9/6432.8,8734.5/9125.7/8788.5,6704.5,8881.2,0.40558,56563,49624,9.7715,1,7.4588e-23,1.4918e-22,3.8026e-22,True
NUP98-6,NUP98,6930.2/7476.9/7380.9,5443.5/4861/4694.8,7258.7,4989.7,-0.54067,85206,54230,9.7435,9.8291e-23,1,1.9658e-22,4.9978e-22,False
TGM6-7,TGM6,5819.7/5869.2/5343.4,8663.4/7297/7075.9,5672.4,7647.8,0.43103,84357,41169,9.736,1,1.059e-22,2.118e-22,5.3703e-22,True
