gene,sgRNA,B1,B2,B3,A1,A2,A3
PSMD1,PSMD1-2,6022,6652,4438,3477,3541,3196
RPS11,RPS11-3,5419,5247,3250,2364,2336,2190
POLR2D,POLR2D-8,3069,3670,2071,419,465,727
RPL35A,RPL35A-2,5091,4832,3098,1563,1700,1446
PSMD6,PSMD6-8,5138,4835,3215,2699,3354,3625
RPS13,RPS13-10,3307,3408,2126,773,446,563
RPL30,RPL30-4,7518,7454,4984,4564,4091,3488
PSMC2,PSMC2-1,3592,3860,2511,1567,1354,1417
POLR2D,POLR2D-3,2652,2914,1745,1030,641,624
RPS9,RPS9-3,2746,2940,1771,784,758,1057
COPS6,COPS6-2,2935,3123,1956,853,1124,1104
RPL18A,RPL18A-1,6772,6536,3911,3207,2397,2588
PSMC2,PSMC2-9,7686,7876,5102,5975,5699,5217
COPA,COPA-1,4232,4112,2634,1546,963,1097
RPL18A,RPL18A-2,4606,4151,2787,1782,1500,1895
RPS7,RPS7-3,5181,5601,3557,2354,2313,2660
PSMD1,PSMD1-18,3465,3622,2276,621,926,678
COPB1,COPB1-8,3878,4026,2498,812,780,929
NUP98,NUP98-6,7239,8097,5115,6044,5258,4874
COPA,COPA-6,2271,2457,1517,73,305,223
NUP205,NUP205-7,5385,5521,3611,2895,2595,2510
PSMC2,PSMC2-4,3289,3489,2359,1132,1286,951
PSMD7,PSMD7-9,3956,4660,2643,1128,1075,1027
PSMD6,PSMD6-14,3572,3825,2784,829,1151,1173
NUP98,NUP98-7,4625,4654,3104,3125,2631,2363
COPA,COPA-4,3038,3393,1924,782,638,656
POLR2D,POLR2D-6,3583,3902,2518,1430,1516,1419
NUP54,NUP54-15,5337,6010,3679,2514,2685,2694
PSMB3,PSMB3-6,3211,3356,1819,575,846,914
PSMD1,PSMD1-9,6577,6229,4085,3728,3926,3291
RPS8,RPS8-6,2934,3321,2076,320,698,661
RPL9,RPL9-2,4313,4393,2863,1608,1596,1647
PSMC4,PSMC4-7,4395,4748,2645,2124,2702,2176
COPA,COPA-10,5224,5930,3685,2616,2001,2682
PSMD6,PSMD6-3,4332,4188,2791,1640,1512,2104
RPS27,RPS27-1,4142,4291,2672,2794,2662,2326
POLA1,POLA1-1,4004,4161,2694,791,998,1061
PSMD11,PSMD11-8,2892,2857,1769,591,498,338
RPL34,RPL34-4,1795,1786,1237,379,271,336
POLR2A,POLR2A-3,5237,5038,2891,6810,7262,7810
RPL27,RPL27-1,3387,3529,2103,774,1078,983
COPA,COPA-7,3062,3260,2323,753,606,665
NUP133,NUP133-3,3841,3978,2534,1425,1411,1653
PSMA3,PSMA3-1,6007,5818,3876,2474,2088,1786
RPL11,RPL11-3,2633,2712,1815,481,541,502
NUP54,NUP54-8,5083,5146,3385,2726,2963,3179
PSMD11,PSMD11-3,3410,3568,2279,1199,1064,506
NUP205,NUP205-8,1958,2063,1498,478,256,200
PSMD1,PSMD1-19,4942,5129,3094,2069,2433,1333
NUP98,NUP98-5,3306,3402,2305,1315,1098,1238
PSMD6,PSMD6-13,2557,2847,1674,405,515,473
PSMB2,PSMB2-16,2232,2116,1279,305,93,115
COPS4,COPS4-8,3754,3511,2320,1237,1261,1621
COPS6,COPS6-6,2993,3112,1990,1059,924,979
PSMB2,PSMB2-20,1653,1805,956,101,94,75
PSMD6,PSMD6-17,2699,3138,2015,1001,983,700
PSMB3,PSMB3-1,6297,7099,4374,3214,3960,3542
PSMD6,PSMD6-9,4439,4710,2931,3021,2332,2843
RPL36,RPL36-2,3389,3182,2169,984,1303,1162
POLR2A,POLR2A-4,2982,3323,2346,790,1203,1094
PSMD11,PSMD11-6,3296,3621,2241,1333,1772,1552
POLR2A,POLR2A-10,4490,4487,2770,3648,3779,3756
RPL36,RPL36-7,3846,3665,2316,1757,1856,2114
RPS19,RPS19-9,1864,1798,1179,469,376,380
PSMD1,PSMD1-8,3126,2796,1889,1207,739,1120
COPS6,COPS6-7,5161,5211,2907,3205,3077,2566
PSMB2,PSMB2-9,5536,5568,3670,4800,4224,4181
COPB1,COPB1-4,3298,3029,2187,1720,1591,1555
NUP93,NUP93-8,5919,5779,4047,1983,2206,2358
RPS8,RPS8-2,2444,3065,1793,798,532,1005
RPS7,RPS7-1,4797,4711,2940,3118,2677,2900
POLR2F,POLR2F-8,7963,9093,5239,4968,5549,4892
PSMD6,PSMD6-6,4410,4498,3021,3064,2703,2990
NUP93,NUP93-11,1965,1941,1321,319,494,293
PSMD7,PSMD7-10,2507,3112,1829,577,662,512
PSMA3,PSMA3-2,2303,2417,1540,503,506,666
RPS3A,RPS3A-2,3823,4187,2679,3193,2366,2299
RPL18A,RPL18A-3,5129,5314,3321,3108,2643,2788
PSMA3,PSMA3-10,3419,3588,2357,1963,2181,2072
RPS3A,RPS3A-5,3521,3742,2403,3099,2784,3261
RPS27,RPS27-3,6839,6512,4339,4851,4684,4104
COPS2,COPS2-3,7077,7045,4466,2786,2931,3048
COPB1,COPB1-10,2605,2215,1433,420,524,756
RPL5,RPL5-8,4444,4826,3147,2878,2700,2771
PSMC2,PSMC2-12,4926,5181,3322,4219,3689,3674
COPS4,COPS4-3,2989,3034,2388,1403,2378,1467
PSMD11,PSMD11-1,2213,2836,1478,978,679,890
NUP93,NUP93-9,2392,2463,1599,1589,1475,1409
COPS4,COPS4-10,2995,3165,2166,1635,1615,1285
PSMD1,PSMD1-7,4455,4419,2764,2663,2713,2023
PSMD11,PSMD11-4,1969,1966,1049,1536,1446,1199
PSMD6,PSMD6-16,2794,2890,1950,2995,2715,3232
NUP133,NUP133-5,2599,2405,1582,1233,1122,1191
RPL3,RPL3-10,1569,1480,992,967,531,488
COPS8,COPS8-2,2653,2455,1660,1393,1097,1246
RPS27,RPS27-5,4141,4776,2991,2450,3241,2991
RPS13,RPS13-1,2095,1908,1148,849,782,971
RPL30,RPL30-5,3019,2997,1828,1137,1388,1156
NUP93,NUP93-6,1845,1525,1064,758,492,296
COPS6,COPS6-1,4636,4618,2913,3349,2869,4202
COPZ1,COPZ1-3,1507,1892,1071,400,219,257
COPS2,COPS2-10,4371,4139,2802,1714,2063,1894
RPL11,RPL11-4,6869,6924,4424,4666,4275,3837
RPL3,RPL3-2,5439,5007,3522,3939,4433,3764
PSMD11,PSMD11-10,3095,2703,1981,1517,1209,1631
PSMC4,PSMC4-9,3615,3647,2465,1949,2367,2191
NUP98,NUP98-8,5335,5498,3489,4799,3967,3873
NUP205,NUP205-10,3206,3700,2479,2331,2214,2033
RPL36,RPL36-9,5004,5155,3449,4238,3882,3627
RPS19,RPS19-4,1519,1773,1191,937,548,819
POLA1,POLA1-2,4269,4387,2467,3882,3881,3840
POLA1,POLA1-8,3585,4131,2355,3732,3393,3144
COPS6,COPS6-10,3040,2941,1818,1524,2031,2043
NUP54,NUP54-4,2806,3106,1937,2274,1791,2607
POLR2A,POLR2A-8,2134,1830,1484,786,1434,885
RPL6,RPL6-1,1309,1305,1033,301,558,238
NUP54,NUP54-20,3458,3781,2535,2469,2713,2494
NUP205,NUP205-9,5476,5604,3722,5370,4296,4495
PSMB2,PSMB2-19,3956,3849,2370,864,917,899
RPS13,RPS13-3,3229,3871,2637,2273,2076,2003
PSMC1,PSMC1-7,4698,4645,3130,3107,3497,3733
COPS8,COPS8-9,5411,5665,3759,3089,2878,3155
NUP205,NUP205-4,8546,9561,5988,8625,9406,7983
POLR2F,POLR2F-10,6199,6966,4363,7795,7006,7759
NUP133,NUP133-8,2465,2405,1599,1584,1467,1638
NUP98,NUP98-3,3861,3702,2503,3693,3690,4122
PSMB3,PSMB3-7,3119,3364,2116,2163,2974,3160
RPL27,RPL27-8,5874,5411,3105,5095,3757,3898
RPL5,RPL5-4,5228,5087,3629,6626,6378,7410
RPL18A,RPL18A-5,4430,4162,2890,2365,2297,2290
NUP98,NUP98-13,3313,3136,1996,1920,2154,2068
PSMB3,PSMB3-5,5273,4691,3414,4994,6141,6096
NUP98,NUP98-16,4982,4935,3207,3995,4047,3936
COPS6,COPS6-4,5018,5085,3296,6495,6067,5771
PSMD6,PSMD6-11,2480,2792,1582,2014,1848,1772
NUP98,NUP98-4,9257,9516,5858,13047,12945,13072
PSMC4,PSMC4-1,4497,3972,2710,3395,3087,4140
RPS7,RPS7-6,2690,2763,1747,2120,2321,2158
PSMB2,PSMB2-17,742,958,607,279,158,292
POLR2A,POLR2A-9,1198,1351,755,887,637,741
PSMC4,PSMC4-8,1956,2153,1479,1415,1403,1207
COPS2,COPS2-5,680,815,476,39,195,130
PSMC1,PSMC1-5,5110,4928,3477,5625,4675,4420
RPL3,RPL3-8,3394,3123,2239,2652,2454,2669
RPS11,RPS11-9,4020,3861,2752,4431,5194,3928
PSMB2,PSMB2-22,6946,7506,4236,3985,3966,4316
RPS24,RPS24-10,10302,10393,6919,11726,10236,10922
PSMD11,PSMD11-7,2903,2451,1895,1715,1865,1707
COPZ1,COPZ1-5,2358,2681,1529,2024,1677,1802
PSMC4,PSMC4-10,3224,3529,2281,3096,3481,3137
PSMD6,PSMD6-15,2290,2412,1647,2087,1663,2046
PSMD1,PSMD1-13,3119,3591,2351,3173,3183,3010
COPA,COPA-3,4917,5237,3082,3762,4607,4196
RPL3,RPL3-6,4775,4448,3107,3591,4385,3374
RPS24,RPS24-6,6067,6054,3992,5755,5614,5357
COPS8,COPS8-6,3226,3202,1899,1749,2555,1578
RPS24,RPS24-4,8140,8324,5245,8830,9072,8767
LYZL6,LYZL6-6,6265,6855,4513,5545,4357,4984
PSMD1,PSMD1-21,2757,3062,1705,1172,1322,1085
COPS8,COPS8-15,8431,9037,5632,7695,9307,7458
RPL3,RPL3-7,4447,4225,2839,3161,3630,3506
NUP98,NUP98-10,7273,8081,4964,7574,7140,6878
COPZ1,COPZ1-14,4146,4393,2778,3652,4011,3720
RPS24,RPS24-8,5968,6831,4061,6392,5466,5679
RPL9,RPL9-10,1670,1646,1026,776,885,746
RPL3,RPL3-1,2847,2785,2010,1785,2020,2134
RPL27,RPL27-7,2291,2161,1484,2619,2549,2362
RPL3,RPL3-3,8672,8889,5714,7350,6955,6526
RPL34,RPL34-6,3744,4117,2356,2927,2742,3382
NUP98,NUP98-9,2799,2852,1853,1893,1794,1266
COPS8,COPS8-14,4913,5026,3531,4353,4593,3979
RPS3A,RPS3A-6,1958,2106,1263,1794,1741,2045
PSMC2,PSMC2-5,1777,1903,1111,1461,1577,1490
RPS27,RPS27-2,4021,3982,2573,3724,3784,4650
PSMD7,PSMD7-3,6964,7304,3932,5244,5259,5134
RPS9,RPS9-6,1048,1205,738,1212,1156,859
RPL11,RPL11-6,3204,3726,2502,3305,3987,2877
RPS8,RPS8-3,5456,5946,3636,4110,4591,3928
NUP133,NUP133-10,4041,4215,2547,4677,4438,4876
RPL5,RPL5-1,4493,4922,3093,4790,4913,5442
POLR2D,POLR2D-5,4990,5312,3744,5834,5879,5219
RPS27,RPS27-4,7563,8186,4912,7352,6728,6753
NUP98,NUP98-11,5177,5300,3250,5908,5242,5041
COPZ1,COPZ1-15,4640,5501,3171,4495,5068,4762
NUP54,NUP54-10,2522,2741,1680,2499,2340,2166
RPS24,RPS24-13,4212,4463,2663,4752,4530,3695
RPS11,RPS11-4,3523,3491,2373,4099,3105,3428
PSMD1,PSMD1-16,6539,6836,4134,7635,6741,7563
PSMD7,PSMD7-6,2271,2113,1375,989,1012,515
COPZ1,COPZ1-7,3326,3610,2089,2753,2841,2679
NUP54,NUP54-16,2569,2639,1802,3909,3633,4081
COPS6,COPS6-3,2304,2143,1406,2249,1452,1784
COPS8,COPS8-1,5575,5427,3972,6592,6575,7003
NUP205,NUP205-3,4609,4189,3085,4737,4155,4937
PSMC1,PSMC1-3,6151,6332,4004,5703,6553,5998
NUP54,NUP54-9,5200,5829,4046,5413,5148,5386
RPL36,RPL36-4,4608,4489,3295,5359,4259,3779
POLA1,POLA1-9,3677,3870,2541,5099,6065,4530
COPS8,COPS8-16,2726,2861,1890,3071,3132,3325
NUP205,NUP205-6,7692,7433,5030,9008,7888,8277
POLR2F,POLR2F-7,6906,7285,4289,7834,7424,8358
RPS11,RPS11-6,4744,5247,3406,5564,5874,5026
COPZ1,COPZ1-9,5246,5657,3314,5340,5763,5485
CRYGB,CRYGB-8,3921,4110,2444,3609,3879,3381
LYZL6,LYZL6-2,7398,7954,5308,6922,6262,6836
RPS7,RPS7-4,3868,4027,2411,3746,4298,4364
RPS8,RPS8-1,5546,5478,3780,5438,4914,5283
PSMB3,PSMB3-10,5852,5906,3863,5149,4817,5503
RPL3,RPL3-5,6458,6450,4582,7674,6664,6601
MRGPRD,MRGPRD-8,4475,4390,2779,3807,4140,3870
IL1F10,IL1F10-10,3549,3736,2437,3979,4196,3564
PSMB2,PSMB2-11,4571,4605,2684,4123,4356,3565
POLA1,POLA1-10,5633,6003,3901,6531,7309,6112
POLR2F,POLR2F-4,2978,3366,1959,3268,3004,3587
MRGPRD,MRGPRD-10,3816,3731,2420,3069,2877,2363
OTUD6A,OTUD6A-8,2255,2246,1596,3310,2492,2223
RPL9,RPL9-4,1032,1447,784,714,741,780
COPS8,COPS8-5,4344,4242,2848,4135,4207,3684
NUP98,NUP98-15,4785,4784,2867,6114,5435,5869
RPS24,RPS24-3,4977,4461,2832,5838,5556,5406
RPS19,RPS19-1,6025,5777,3585,5947,6418,5617
RPL9,RPL9-5,1722,1632,1188,1289,1154,967
IL1F10,IL1F10-1,2678,2646,1813,1922,2589,2096
KRT25,KRT25-2,3366,3351,2314,2927,2497,2505
PIWIL3,PIWIL3-5,5926,5544,3440,4527,4957,5261
TPH2,TPH2-8,2423,2293,1540,1958,1487,2049
RPS8,RPS8-9,8409,8955,5470,9779,8530,8148
RPL30,RPL30-2,4237,4217,2874,4193,4133,4599
RNASE9,RNASE9-4,3690,3828,2234,3924,3399,3e3
NPSR1,NPSR1-10,3735,4117,2521,4268,3875,4117
PSMA3,PSMA3-5,7517,7549,5034,7491,6582,6498
PSMD1,PSMD1-14,1704,2289,1163,2046,2215,2148
DMRTB1,DMRTB1-10,8076,8385,5504,8227,7672,6940
RPL5,RPL5-9,6956,6771,4467,7437,8670,7815
POLR2D,POLR2D-10,3473,3200,2217,3800,3694,3453
RPTN,RPTN-4,1307,1580,873,865,1070,934
COPS8,COPS8-13,5615,6242,3947,6617,6981,6649
HTR3D,HTR3D-5,4655,4397,2859,5056,5886,6084
MRGPRD,MRGPRD-9,4595,5110,2932,4625,3783,4019
RPL30,RPL30-9,6331,6373,4091,7650,7080,8187
LYZL6,LYZL6-4,8462,8146,5598,7812,6472,6359
RPL27,RPL27-9,3856,3699,2657,3881,3654,3057
DMRTC2,DMRTC2-3,3664,3651,2192,4161,3318,2917
KRT25,KRT25-3,6740,6877,4178,5297,5904,5730
OLIG2,OLIG2-5,4234,4274,2842,6107,5368,5460
IL1F10,IL1F10-3,2363,2401,1454,2523,1985,2249
IL22,IL22-2,1327,1501,898,1217,1256,1148
COPS2,COPS2-1,6255,6281,4151,6947,6061,6066
HTR3D,HTR3D-7,4040,4441,2608,5055,5070,4767
NUP54,NUP54-2,3739,3757,2784,3674,4315,3258
LYZL6,LYZL6-8,5508,5918,3591,5780,6497,5490
IL1F10,IL1F10-4,4845,4820,2973,4662,5441,5025
NUP93,NUP93-5,4778,4839,3373,5024,5049,4916
KRT25,KRT25-4,4145,4829,2749,4257,3118,3217
RPS11,RPS11-8,1239,1320,810,1079,1329,1156
OR9Q2,OR9Q2-8,1514,1228,959,1092,1218,1113
RXFP2,RXFP2-6,5999,5865,3879,6906,6919,5703
LUZP4,LUZP4-1,1623,1605,1123,1623,1904,1645
KRT74,KRT74-7,5135,5252,3554,5413,5235,5043
POLA1,POLA1-6,3326,3217,2399,5304,5142,4020
OC90,OC90-1,1440,1534,1051,1599,2032,1892
NPHS2,NPHS2-5,2632,3001,1933,2976,3463,2913
IL1F10,IL1F10-7,7284,7255,4744,6731,6502,7673
COPS2,COPS2-8,5310,5536,3800,5834,5922,5399
NPHS2,NPHS2-2,5549,5613,3798,4893,6008,5156
MRGPRD,MRGPRD-2,3605,3646,2184,3706,4078,3248
OC90,OC90-6,5352,5509,3884,7829,7521,7003
NUP93,NUP93-3,4117,3947,2685,3713,4311,3932
FCRL4,FCRL4-10,5286,5536,3497,4523,5318,5253
IL1F10,IL1F10-6,2739,3108,1910,4742,4446,4023
PSMB3,PSMB3-2,4625,4945,3260,4945,4627,4219
PIWIL3,PIWIL3-9,2106,2143,1252,1473,1910,1621
KRT74,KRT74-10,6349,6103,3921,5184,6097,5776
RPL30,RPL30-3,5207,5868,3581,6094,7459,6215
OTUD6A,OTUD6A-10,4146,4738,2698,4626,6489,4591
COPS6,COPS6-9,6039,6206,4162,11357,9062,8736
OR9Q2,OR9Q2-6,4777,4672,2924,5344,5099,5323
DMRTC2,DMRTC2-1,4577,5267,2962,5459,5139,4535
LHX5,LHX5-3,2213,2526,1510,2201,2391,2029
FAM71B,FAM71B-9,6583,6349,4319,7607,5779,5425
